label_avg_price_per_room,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,no_total_people,no_total_nights,season_group
1,2,0,0,1,Not Selected,0,Room_Type 1,2,2018,1,9,Online,0,0,0,1,2,1,Winter
2,2,0,0,2,Meal Plan 1,0,Room_Type 1,72,2018,10,7,Offline,0,0,0,0,2,2,Autumn
3,2,0,0,1,Not Selected,1,Room_Type 1,23,2018,4,27,Online,0,0,0,1,2,1,Spring
1,1,0,2,1,Meal Plan 1,0,Room_Type 1,34,2018,6,19,Online,0,0,0,0,1,3,Summer
1,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,2017,10,17,Offline,0,0,0,0,2,1,Autumn
1,2,0,2,3,Not Selected,0,Room_Type 1,247,2018,11,19,Online,0,0,0,0,2,5,Autumn
3,2,0,2,1,Meal Plan 1,0,Room_Type 4,186,2018,7,30,Online,0,0,0,1,2,3,Summer
2,2,0,0,4,Meal Plan 1,0,Room_Type 1,64,2018,11,1,Online,0,0,0,2,2,4,Autumn
2,2,0,0,2,Meal Plan 1,0,Room_Type 1,35,2018,6,21,Online,0,0,0,1,2,2,Summer
3,3,0,2,1,Meal Plan 1,0,Room_Type 1,96,2018,4,10,Online,0,0,0,1,3,3,Spring
2,2,0,1,1,Not Selected,0,Room_Type 1,41,2018,6,27,Online,0,0,0,1,2,2,Summer
1,2,0,0,4,Meal Plan 1,0,Room_Type 4,55,2017,11,18,Offline,0,0,0,1,2,4,Autumn
1,2,0,0,3,Meal Plan 1,0,Room_Type 1,146,2017,12,29,Offline,0,0,0,0,2,3,Winter
1,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,0,1,2,Autumn
2,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,0,2,1,Spring
1,2,0,0,4,Not Selected,0,Room_Type 1,57,2018,11,1,Online,0,0,0,1,2,4,Autumn
3,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,2018,12,29,Online,0,0,0,2,1,4,Winter
2,1,0,2,5,Not Selected,0,Room_Type 1,124,2018,5,30,Online,0,0,0,0,1,7,Spring
2,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,2018,4,22,Online,0,0,0,0,2,4,Spring
3,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,2018,5,16,Online,0,0,0,1,1,3,Spring
1,2,0,0,4,Meal Plan 1,0,Room_Type 4,51,2017,11,11,Offline,0,0,0,1,2,4,Autumn
2,2,0,1,0,Not Selected,0,Room_Type 1,13,2018,6,13,Online,0,0,0,2,2,1,Summer
3,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,2018,5,19,Online,0,0,0,1,2,4,Spring
2,2,0,0,1,Not Selected,0,Room_Type 1,139,2018,7,28,Online,0,0,0,1,2,1,Summer
2,2,0,1,2,Meal Plan 1,0,Room_Type 1,117,2018,12,26,Online,0,0,0,2,2,3,Winter
3,2,0,1,4,Meal Plan 1,0,Room_Type 4,39,2018,4,20,Online,0,0,0,0,2,5,Spring
2,2,0,0,3,Meal Plan 1,0,Room_Type 4,86,2018,4,6,Online,0,0,0,1,2,3,Spring
3,2,2,0,1,Meal Plan 1,1,Room_Type 6,2,2018,9,2,Online,0,0,0,1,4,1,Autumn
3,1,0,0,3,Meal Plan 1,0,Room_Type 4,19,2018,5,3,Online,0,0,0,2,1,3,Spring
2,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,0,1,2,Summer
1,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2017,9,10,Complementary,0,0,0,1,1,1,Autumn
1,2,0,2,1,Meal Plan 1,0,Room_Type 1,86,2018,12,18,Offline,0,0,0,0,2,3,Winter
3,2,0,0,3,Meal Plan 1,0,Room_Type 4,30,2018,10,5,Online,0,0,0,2,2,3,Autumn
2,2,0,0,2,Meal Plan 1,0,Room_Type 4,179,2018,6,3,Online,0,0,0,1,2,2,Summer
3,2,0,0,2,Meal Plan 1,0,Room_Type 4,26,2018,4,15,Online,0,0,0,0,2,2,Spring
1,2,0,0,1,Meal Plan 1,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,0,2,1,Spring
2,2,0,1,2,Meal Plan 1,0,Room_Type 1,74,2018,4,25,Online,0,0,0,1,2,3,Spring
2,2,0,0,3,Meal Plan 1,0,Room_Type 1,143,2018,8,25,Offline,0,0,0,0,2,3,Summer
2,2,0,1,0,Not Selected,0,Room_Type 1,34,2018,11,14,Online,0,0,0,2,2,1,Autumn
3,2,0,1,1,Meal Plan 1,1,Room_Type 1,30,2018,8,29,Online,0,0,0,1,2,2,Summer
2,2,0,0,2,Meal Plan 1,0,Room_Type 1,177,2018,6,3,Online,0,0,0,0,2,2,Summer
1,2,0,2,3,Meal Plan 1,0,Room_Type 4,34,2017,10,25,Offline,0,0,0,0,2,5,Autumn
3,2,0,1,4,Meal Plan 1,0,Room_Type 4,18,2018,3,9,Online,0,0,0,1,2,5,Spring
3,3,0,1,1,Meal Plan 1,0,Room_Type 4,267,2018,12,31,Online,0,0,0,0,3,2,Winter
2,2,0,1,2,Meal Plan 1,0,Room_Type 1,64,2018,6,27,Online,0,0,0,1,2,3,Summer
3,3,0,2,5,Meal Plan 1,0,Room_Type 4,155,2018,6,28,Online,0,0,0,2,3,7,Summer
1,2,0,0,5,Meal Plan 1,0,Room_Type 1,46,2018,3,29,Offline,0,0,0,1,2,5,Spring
3,2,2,0,2,Meal Plan 1,0,Room_Type 6,83,2018,4,1,Online,0,0,0,0,4,2,Spring
3,2,0,0,5,Meal Plan 1,0,Room_Type 4,128,2018,10,11,Online,0,0,0,0,2,5,Autumn
2,2,0,2,0,Not Selected,0,Room_Type 1,20,2018,12,25,Online,0,0,0,2,2,2,Winter
2,2,0,1,4,Meal Plan 1,0,Room_Type 4,40,2018,3,14,Online,0,0,0,0,2,5,Spring
2,2,0,1,2,Meal Plan 1,1,Room_Type 4,46,2018,3,4,Online,0,0,0,1,2,3,Spring
3,1,0,1,0,Meal Plan 1,0,Room_Type 1,1,2018,10,17,Online,0,0,0,2,1,1,Autumn
2,2,0,2,3,Not Selected,0,Room_Type 1,196,2018,9,4,Online,0,0,0,1,2,5,Autumn
3,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Online,0,0,0,0,1,2,Summer
2,2,0,0,1,Not Selected,0,Room_Type 1,17,2018,12,10,Online,1,0,5,0,2,1,Winter
2,2,0,0,3,Meal Plan 1,0,Room_Type 5,146,2018,8,9,Offline,0,0,0,0,2,3,Summer
2,2,0,1,3,Not Selected,0,Room_Type 1,110,2018,5,5,Online,0,0,0,1,2,4,Spring
2,2,0,1,2,Meal Plan 1,1,Room_Type 1,68,2018,3,18,Online,0,0,0,0,2,3,Spring
3,2,0,2,1,Meal Plan 1,0,Room_Type 4,73,2018,4,9,Online,0,0,0,1,2,3,Spring
3,2,0,0,1,Meal Plan 1,0,Room_Type 4,92,2018,5,19,Online,0,0,0,1,2,1,Spring
2,2,0,2,5,Meal Plan 1,0,Room_Type 1,171,2018,8,30,Online,0,0,0,0,2,7,Summer
3,2,1,0,2,Meal Plan 1,1,Room_Type 1,134,2018,8,4,Online,0,0,0,2,3,2,Summer
3,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Online,0,0,0,1,2,2,Summer
2,2,0,0,4,Meal Plan 1,0,Room_Type 1,118,2018,4,13,Online,0,0,0,1,2,4,Spring
1,2,0,0,3,Meal Plan 1,0,Room_Type 1,30,2018,11,17,Online,0,0,0,1,2,3,Autumn
3,2,2,1,3,Meal Plan 1,0,Room_Type 6,30,2018,12,22,Online,0,0,0,0,4,4,Winter
2,2,0,1,0,Not Selected,0,Room_Type 1,189,2018,10,23,Online,0,0,0,2,2,1,Autumn
3,3,0,1,2,Meal Plan 1,0,Room_Type 4,55,2018,5,13,Online,0,0,0,2,3,3,Spring
1,1,0,0,4,Meal Plan 1,0,Room_Type 1,55,2018,12,13,Online,0,0,0,2,1,4,Winter
2,2,0,0,1,Meal Plan 1,0,Room_Type 1,16,2017,10,31,Online,0,0,0,1,2,1,Autumn
2,2,0,0,3,Meal Plan 1,0,Room_Type 1,24,2017,10,8,Online,0,0,0,1,2,3,Autumn
1,2,0,0,3,Meal Plan 1,0,Room_Type 1,8,2018,2,16,Offline,0,0,0,0,2,3,Winter
1,2,0,1,4,Meal Plan 1,1,Room_Type 1,10,2017,11,2,Online,0,0,0,0,2,5,Autumn
3,2,0,1,3,Meal Plan 1,0,Room_Type 4,0,2017,9,21,Online,0,0,0,1,2,4,Autumn
2,2,0,0,1,Not Selected,0,Room_Type 1,12,2018,6,30,Online,0,0,0,1,2,1,Summer
2,2,0,2,1,Meal Plan 1,0,Room_Type 1,32,2017,9,5,Online,0,0,0,3,2,3,Autumn
3,2,0,0,2,Meal Plan 1,0,Room_Type 1,182,2018,9,30,Online,0,0,0,2,2,2,Autumn
3,2,0,1,0,Not Selected,0,Room_Type 1,1,2018,6,27,Online,0,0,0,1,2,1,Summer
3,2,0,0,3,Not Selected,0,Room_Type 1,122,2018,6,16,Online,0,0,0,2,2,3,Summer
3,2,0,2,3,Meal Plan 1,0,Room_Type 1,40,2018,6,30,Online,0,0,0,1,2,5,Summer
3,2,2,2,2,Meal Plan 1,0,Room_Type 2,116,2018,6,26,Online,0,0,0,1,4,4,Summer
3,3,0,2,2,Meal Plan 1,1,Room_Type 4,123,2018,8,13,Online,0,0,0,1,3,4,Summer
3,3,0,2,5,Meal Plan 1,0,Room_Type 4,40,2018,4,22,Online,0,0,0,0,3,7,Spring
2,2,1,2,5,Meal Plan 1,0,Room_Type 1,105,2018,11,12,Online,0,0,0,3,3,7,Autumn
1,2,0,0,1,Meal Plan 1,0,Room_Type 1,443,2018,4,29,Online,0,0,0,0,2,1,Spring
2,2,0,2,3,Meal Plan 1,0,Room_Type 1,2,2017,11,14,Online,0,0,0,1,2,5,Autumn
2,2,0,0,3,Meal Plan 1,0,Room_Type 1,317,2018,9,1,Online,0,0,0,1,2,3,Autumn
1,2,0,0,2,Meal Plan 2,0,Room_Type 1,286,2018,9,16,Offline,0,0,0,0,2,2,Autumn
1,2,0,1,3,Meal Plan 1,0,Room_Type 1,68,2018,3,10,Online,0,0,0,0,2,4,Spring
2,2,0,0,3,Meal Plan 1,0,Room_Type 1,148,2018,5,5,Online,0,0,0,0,2,3,Spring
3,3,0,2,0,Meal Plan 1,0,Room_Type 4,68,2018,4,24,Online,0,0,0,2,3,2,Spring
2,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,3,30,Offline,0,0,0,0,2,2,Spring
2,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,11,3,Online,0,0,0,1,1,1,Autumn
3,2,2,0,2,Meal Plan 1,0,Room_Type 6,110,2018,10,14,Online,0,0,0,0,4,2,Autumn
2,1,0,2,3,Meal Plan 1,0,Room_Type 1,117,2018,6,5,Offline,0,0,0,0,1,5,Summer
2,2,0,1,4,Meal Plan 1,0,Room_Type 4,85,2018,7,13,Online,0,0,0,1,2,5,Summer
3,2,0,0,2,Not Selected,0,Room_Type 1,1,2018,10,20,Online,0,0,0,2,2,2,Autumn
3,1,0,1,2,Meal Plan 1,0,Room_Type 1,25,2018,10,17,Online,0,0,0,2,1,3,Autumn
1,2,0,2,4,Not Selected,0,Room_Type 1,289,2018,12,28,Online,0,0,0,2,2,6,Winter
1,2,0,1,4,Meal Plan 1,0,Room_Type 4,28,2017,10,19,Offline,0,0,0,0,2,5,Autumn
1,1,0,0,4,Not Selected,0,Room_Type 1,80,2018,3,29,Online,0,0,0,0,1,4,Spring
3,2,0,0,1,Meal Plan 1,0,Room_Type 4,11,2017,10,9,Online,0,0,0,2,2,1,Autumn
3,2,1,1,0,Meal Plan 1,0,Room_Type 1,162,2018,7,25,Online,0,0,0,2,3,1,Summer
2,2,0,2,5,Meal Plan 1,0,Room_Type 1,155,2018,6,28,Online,0,0,0,2,2,7,Summer
2,1,0,2,2,Meal Plan 1,0,Room_Type 1,82,2018,5,22,Online,0,0,0,0,1,4,Spring
3,3,0,2,4,Meal Plan 1,0,Room_Type 4,27,2018,4,15,Online,0,0,0,0,3,6,Spring
2,1,0,1,2,Meal Plan 1,0,Room_Type 1,13,2018,5,9,Offline,0,0,0,0,1,3,Spring
1,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Online,0,0,0,0,2,2,Summer
2,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,2018,11,18,Online,0,0,0,1,2,2,Autumn
2,2,0,2,2,Meal Plan 1,0,Room_Type 1,266,2018,10,30,Online,0,0,0,2,2,4,Autumn
3,2,0,1,0,Meal Plan 1,0,Room_Type 1,39,2018,3,28,Online,0,0,0,1,2,1,Spring
1,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,2018,6,1,Complementary,1,3,5,1,1,2,Summer
2,2,0,0,4,Not Selected,0,Room_Type 1,112,2018,5,4,Online,0,0,0,1,2,4,Spring
1,2,0,1,2,Not Selected,0,Room_Type 1,88,2018,4,8,Online,0,0,0,1,2,3,Spring
3,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,0,2,1,Summer
2,2,0,2,3,Meal Plan 1,0,Room_Type 4,73,2018,4,7,Online,0,0,0,0,2,5,Spring
3,2,0,1,1,Meal Plan 1,0,Room_Type 1,80,2018,5,2,Online,0,0,0,1,2,2,Spring
3,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,2018,9,29,Online,0,0,0,2,2,3,Autumn
1,2,0,1,3,Not Selected,0,Room_Type 1,69,2018,4,4,Online,0,0,0,1,2,4,Spring
2,2,0,0,2,Meal Plan 2,0,Room_Type 1,273,2017,7,17,Online,0,0,0,0,2,2,Summer
2,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,0,2,1,Spring
1,1,0,0,3,Meal Plan 1,0,Room_Type 1,4,2018,11,1,Corporate,1,1,5,1,1,3,Autumn
3,2,0,0,3,Meal Plan 1,0,Room_Type 4,97,2018,5,24,Online,0,0,0,0,2,3,Spring
1,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,0,2,3,Winter
2,2,0,0,1,Not Selected,0,Room_Type 1,31,2018,4,14,Online,0,0,0,0,2,1,Spring
2,2,0,1,0,Not Selected,0,Room_Type 1,0,2018,6,5,Online,0,0,0,0,2,1,Summer
2,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,2018,11,12,Online,0,0,0,2,2,4,Autumn
2,2,0,2,2,Meal Plan 1,0,Room_Type 4,86,2018,4,17,Online,0,0,0,1,2,4,Spring
3,3,0,2,2,Meal Plan 1,0,Room_Type 7,3,2018,10,7,Online,0,0,0,1,3,4,Autumn
2,2,0,1,1,Not Selected,0,Room_Type 1,197,2018,8,1,Online,0,0,0,1,2,2,Summer
2,2,0,0,2,Meal Plan 1,0,Room_Type 1,143,2018,7,12,Online,0,0,0,2,2,2,Summer
1,1,0,2,1,Meal Plan 2,0,Room_Type 1,23,2018,1,2,Online,0,0,0,0,1,3,Winter
3,2,0,0,2,Meal Plan 1,0,Room_Type 4,8,2018,6,15,Online,0,0,0,0,2,2,Summer
1,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,2018,11,16,Online,0,0,0,1,1,2,Autumn
2,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,2018,9,19,Online,0,0,0,0,2,3,Autumn
2,2,1,1,0,Not Selected,0,Room_Type 1,11,2017,9,13,Online,0,0,0,1,3,1,Autumn
3,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,Online,0,0,0,0,2,2,Autumn
1,2,0,1,2,Not Selected,0,Room_Type 1,185,2018,12,16,Online,0,0,0,0,2,3,Winter
2,2,0,1,3,Meal Plan 1,0,Room_Type 1,160,2018,6,30,Online,0,0,0,1,2,4,Summer
2,2,0,0,4,Meal Plan 1,0,Room_Type 1,104,2018,10,18,Online,0,0,0,1,2,4,Autumn
3,2,1,0,1,Meal Plan 1,0,Room_Type 1,11,2018,11,5,Online,0,0,0,1,3,1,Autumn
2,2,0,0,1,Not Selected,0,Room_Type 1,2,2018,3,22,Online,0,0,0,0,2,1,Spring
2,2,0,1,4,Not Selected,0,Room_Type 1,14,2018,8,17,Online,0,0,0,1,2,5,Summer
3,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,5,20,Offline,0,0,0,0,2,2,Spring
2,1,1,2,5,Not Selected,0,Room_Type 1,37,2017,10,24,Online,0,0,0,0,2,7,Autumn
3,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Online,0,0,0,0,2,2,Summer
1,2,0,0,3,Meal Plan 1,0,Room_Type 1,11,2017,9,9,Online,0,0,0,1,2,3,Autumn
1,2,0,1,3,Meal Plan 1,0,Room_Type 1,86,2018,3,31,Online,0,0,0,1,2,4,Spring
2,2,0,0,1,Not Selected,0,Room_Type 1,109,2018,10,11,Online,0,0,0,0,2,1,Autumn
2,2,0,1,1,Meal Plan 1,0,Room_Type 4,72,2018,4,2,Online,0,0,0,1,2,2,Spring
2,2,0,1,5,Meal Plan 1,0,Room_Type 1,196,2018,8,22,Online,0,0,0,0,2,6,Summer
3,2,0,0,2,Meal Plan 1,0,Room_Type 4,56,2018,5,13,Online,0,0,0,1,2,2,Spring
1,2,0,1,3,Meal Plan 1,0,Room_Type 1,189,2018,8,8,Offline,0,0,0,0,2,4,Summer
3,2,0,1,4,Meal Plan 1,0,Room_Type 4,126,2018,8,15,Online,0,0,0,0,2,5,Summer
1,2,0,2,3,Meal Plan 1,0,Room_Type 1,303,2018,8,19,Online,0,0,0,0,2,5,Summer
3,1,0,2,2,Meal Plan 1,0,Room_Type 4,81,2018,11,6,Online,0,0,0,1,1,4,Autumn
3,2,0,1,2,Meal Plan 1,0,Room_Type 1,54,2018,10,10,Online,0,0,0,0,2,3,Autumn
3,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,10,6,Online,0,0,0,0,1,1,Autumn
1,2,0,0,4,Meal Plan 1,0,Room_Type 1,86,2018,4,6,Online,0,0,0,0,2,4,Spring
3,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,2018,3,25,Online,0,0,0,0,2,3,Spring
3,2,0,4,10,Meal Plan 1,0,Room_Type 4,147,2018,8,3,Online,0,0,0,1,2,14,Summer
2,2,0,1,2,Meal Plan 1,0,Room_Type 1,92,2018,5,30,Offline,0,0,0,0,2,3,Spring
2,2,0,0,1,Meal Plan 1,0,Room_Type 1,87,2017,9,11,Corporate,0,0,0,0,2,1,Autumn
1,2,0,2,1,Meal Plan 1,0,Room_Type 1,109,2018,3,20,Offline,0,0,0,0,2,3,Spring
1,2,0,0,4,Meal Plan 1,0,Room_Type 1,127,2018,3,23,Offline,0,0,0,2,2,4,Spring
2,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Online,0,0,0,0,2,3,Autumn
2,2,0,1,4,Not Selected,0,Room_Type 1,156,2018,8,24,Online,0,0,0,1,2,5,Summer
1,2,0,0,2,Meal Plan 1,0,Room_Type 1,80,2017,7,16,Online,0,0,0,1,2,2,Summer
1,2,0,2,2,Not Selected,0,Room_Type 1,211,2018,12,16,Online,0,0,0,0,2,4,Winter
2,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,2018,5,13,Online,0,0,0,0,2,3,Spring
1,2,0,2,1,Meal Plan 1,0,Room_Type 1,58,2018,11,19,Offline,0,0,0,1,2,3,Autumn
1,2,0,0,3,Meal Plan 1,0,Room_Type 1,433,2018,9,8,Online,0,0,0,0,2,3,Autumn
2,2,0,1,3,Meal Plan 1,0,Room_Type 1,111,2018,5,2,Online,0,0,0,1,2,4,Spring
1,2,0,2,3,Meal Plan 1,0,Room_Type 1,34,2018,8,21,Offline,0,0,0,0,2,5,Summer
2,2,0,2,4,Meal Plan 1,0,Room_Type 1,17,2018,12,3,Online,0,0,0,0,2,6,Winter
1,1,0,0,0,Meal Plan 1,0,Room_Type 1,4,2018,2,27,Complementary,0,0,0,1,1,0,Winter
2,2,0,0,3,Meal Plan 1,0,Room_Type 1,6,2017,9,22,Online,0,0,0,1,2,3,Autumn
2,2,0,1,1,Meal Plan 1,0,Room_Type 1,32,2018,7,18,Offline,0,0,0,1,2,2,Summer
3,2,0,0,1,Meal Plan 1,0,Room_Type 1,4,2017,9,22,Online,0,0,0,2,2,1,Autumn
2,3,0,2,1,Meal Plan 1,0,Room_Type 1,195,2018,8,13,Online,0,0,0,1,3,3,Summer
2,2,0,2,2,Meal Plan 1,0,Room_Type 1,119,2018,8,13,Online,0,0,0,1,2,4,Summer
2,1,0,1,1,Not Selected,0,Room_Type 1,13,2018,12,5,Online,0,0,0,0,1,2,Winter
2,2,0,0,2,Meal Plan 1,0,Room_Type 1,59,2017,10,15,Online,0,0,0,2,2,2,Autumn
2,2,1,2,5,Meal Plan 1,0,Room_Type 4,78,2018,3,20,Online,0,0,0,1,3,7,Spring
2,2,0,0,3,Meal Plan 1,0,Room_Type 1,335,2018,10,13,Offline,0,0,0,1,2,3,Autumn
1,2,0,2,5,Meal Plan 1,0,Room_Type 1,103,2017,8,22,Online,0,0,0,0,2,7,Summer
2,1,0,0,2,Not Selected,0,Room_Type 1,0,2018,6,8,Online,0,0,0,1,1,2,Summer
2,2,0,0,1,Meal Plan 1,0,Room_Type 1,118,2018,3,1,Offline,0,0,0,0,2,1,Spring
3,2,0,1,5,Meal Plan 1,0,Room_Type 1,56,2018,9,5,Online,0,0,0,0,2,6,Autumn
3,2,0,0,2,Meal Plan 1,0,Room_Type 1,107,2018,6,10,Offline,0,0,0,1,2,2,Summer
2,2,0,1,3,Not Selected,0,Room_Type 1,70,2018,4,14,Online,0,0,0,1,2,4,Spring
2,2,0,0,2,Meal Plan 1,0,Room_Type 1,76,2018,4,1,Online,0,0,0,1,2,2,Spring
3,2,2,2,2,Meal Plan 1,0,Room_Type 6,144,2018,5,27,Online,0,0,0,1,4,4,Spring
3,1,2,2,2,Meal Plan 1,0,Room_Type 6,4,2017,9,19,Online,0,0,0,2,3,4,Autumn
3,2,1,0,2,Meal Plan 1,0,Room_Type 1,15,2018,3,18,Online,0,0,0,1,3,2,Spring
1,1,0,1,2,Meal Plan 1,0,Room_Type 1,32,2018,2,5,Online,0,0,0,0,1,3,Winter
3,3,0,1,1,Meal Plan 1,0,Room_Type 4,49,2018,5,7,Online,0,0,0,0,3,2,Spring
3,2,1,1,3,Meal Plan 1,0,Room_Type 1,77,2018,5,12,Online,0,0,0,1,3,4,Spring
2,1,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,10,28,Offline,0,0,0,0,1,2,Autumn
2,2,0,1,0,Not Selected,0,Room_Type 1,0,2017,10,18,Online,0,0,0,0,2,1,Autumn
3,2,1,0,1,Meal Plan 1,1,Room_Type 1,58,2018,6,21,Online,0,0,0,1,3,1,Summer
2,2,0,2,6,Not Selected,0,Room_Type 1,4,2017,8,14,Online,0,0,0,1,2,8,Summer
2,2,0,0,2,Meal Plan 1,0,Room_Type 5,117,2018,4,29,Online,0,0,0,0,2,2,Spring
2,2,0,1,3,Meal Plan 1,0,Room_Type 1,36,2018,12,26,Online,0,0,0,0,2,4,Winter
1,2,0,2,2,Not Selected,0,Room_Type 1,35,2018,12,2,Online,0,0,0,2,2,4,Winter
